,ID_Pengiriman,Tanggal,Waktu_Keberangkatan,Waktu_Kedatangan,Lat_Jemput,Lon_Jemput,Lat_Tujuan,Lon_Tujuan,Jarak_KM_Terukur,ID_Kurir,Tipe_Kendaraan,Pengalaman_Kurir,Jumlah_Paket,Kondisi_Cuaca,Kondisi_Lalu_Lintas,Tipe_Area_Tujuan,Durasi_Pengiriman_Menit,ETA_Awal_Menit,Status_Keterlambatan
12,DEL-00013,2023-09-27 17:41:00,2023-09-27 17:41:00,2023-09-27 19:06:34.769493,-6.078241830862242,106.88937082766824,-6.122981355886477,106.65635522826383,36.97838241442691,30,Motor,Menengah,5,Cerah,Sedang,Perumahan,85.57949154822562,74.88205510469741,0
13,DEL-00014,2023-09-28 18:15:00,2023-09-28 18:15:00,2023-09-28 19:34:24.069819,-6.238120360258972,106.66118061682906,-6.076467749263184,106.7935462023835,46.96787195760199,41,Van,Menengah,32,Cerah,Ringan,Perumahan,79.40116365780105,83.3712218406911,0
14,DEL-00015,2023-09-15 09:43:00,2023-09-15 09:43:00,2023-09-15 10:21:46.121131,-6.174526549918455,106.89186819723828,-6.217439862859506,106.81257086408108,11.482084285578164,28,Motor,Rendah,22,Cerah,Padat,Perumahan,38.76868551205541,25.441949867286365,0
15,DEL-00016,2023-10-25 10:56:00,2023-10-25 10:56:00,2023-10-25 11:51:35.232628,-6.346343734696477,106.65799358734915,-6.276613376536515,106.73246684451009,31.977697758884624,26,Motor,Tinggi,22,Cerah,Sedang,Perumahan,55.58721046203952,54.04312128253842,0
16,DEL-00017,2023-09-03 11:50:00,2023-09-03 11:50:00,2023-09-03 11:59:29.204872,-6.250377427345599,106.8470486436409,-6.23024698934069,106.81550266008804,9.870308119553268,23,Motor,Tinggi,28,Cerah,Ringan,Perumahan,9.486747868859617,11.067872513669553,0
17,DEL-00018,2023-09-07 11:08:00,2023-09-07 11:08:00,2023-09-07 12:12:59.121142,-6.331326882152366,106.67363085417446,-6.274976758203285,106.80483276989568,34.451273202589945,10,Motor,Rendah,33,Cerah,Ringan,Perumahan,64.98535236784988,68.23461998624238,0
18,DEL-00019,2023-10-09 08:03:00,2023-10-09 08:03:00,2023-10-09 08:54:28.441401,-6.193438108170531,106.72536765579368,-6.349628187270088,106.7547661664318,27.38655692540092,11,Mobil_Van,Tinggi,23,Cerah,Ringan,Bisnis,51.47402335672356,60.05302724951081,0
19,DEL-00020,2023-09-25 18:13:00,2023-09-25 18:13:00,2023-09-25 18:31:52.607179,-6.104765704847914,106.86657400479356,-6.154863016458666,106.84553239096353,9.097507194997295,45,Truk_Kecil,Tinggi,35,Cerah,Ringan,Industri,18.876786319842275,22.022917373149323,0
20,DEL-00021,2023-10-20 16:08:00,2023-10-20 16:08:00,2023-10-20 16:32:22.618906,-6.28806719236128,106.73412143988762,-6.337242007411341,106.93738116496402,10.573144758428064,44,Motor,Tinggi,35,Cerah,Sedang,Perumahan,24.376981766750344,23.69984338434061,0
21,DEL-00022,2023-09-26 11:01:00,2023-09-26 11:01:00,2023-09-26 11:30:50.694700,-6.191767686332667,106.80335215461533,-6.286882777934831,106.79724080832754,11.306685220422574,6,Motor,Menengah,26,Cerah,Ringan,Bisnis,29.84491166493811,31.33715724818501,0
22,DEL-00023,2023-09-20 18:46:00,2023-09-20 18:46:00,2023-09-20 19:25:38.929747,-6.28879740904677,106.92457448085604,-6.1332651331610535,106.88581522778247,23.11913620673063,29,Motor,Tinggi,33,Cerah,Ringan,Perumahan,39.64882911209144,46.256967297440006,0
23,DEL-00024,2023-10-30 13:43:00,2023-10-30 13:43:00,2023-10-30 14:48:31.279030,-6.313793459646128,106.66489030621096,-6.150282495825265,106.72427896907188,41.07266325383076,22,Motor,Tinggi,24,Cerah,Ringan,Perumahan,65.52131716905254,76.44153669722796,0
24,DEL-00025,2023-09-08 09:13:00,2023-09-08 09:13:00,2023-09-08 10:25:18.117861,-6.196700962419698,106.8933239381207,-6.328001326386151,106.87858517805223,33.044911950444465,14,Motor,Rendah,6,Cerah,Sedang,Industri,72.30196434843734,63.264218804882674,0
25,DEL-00026,2023-09-17 10:49:00,2023-09-17 10:49:00,2023-09-17 11:42:33.001862,-6.3262554137150815,106.66958159957056,-6.151983577676277,106.8446717863506,36.554374649731436,6,Mobil_Van,Tinggi,8,Cerah,Ringan,Industri,53.55003103485885,62.47503620733532,0
26,DEL-00027,2023-10-10 10:01:00,2023-10-10 10:01:00,2023-10-10 10:15:54.329550,-6.173793610658604,106.688038453301,-6.070827533127265,106.84190933397848,7.78137619274372,44,Mobil_Van,Menengah,23,Hujan_Ringan,Ringan,Bisnis,14.905492496816189,13.609362714484346,0
27,DEL-00028,2023-09-06 12:41:00,2023-09-06 12:41:00,2023-09-06 15:06:54.836308,-6.340598761796982,106.68579573116676,-6.327649259294545,106.91791060213266,46.97858473450993,20,Motor,Menengah,11,Cerah,Padat,Perumahan,145.913938470756,95.75602212143362,1
28,DEL-00029,2023-09-04 12:28:00,2023-09-04 12:28:00,2023-09-04 12:45:02.295444,-6.317985508439487,106.94823068496322,-6.22529353169701,106.72000507648568,11.88370849565918,11,Motor,Tinggi,20,Cerah,Ringan,Perumahan,17.038257402258886,19.87796696930204,0
29,DEL-00030,2023-09-18 16:43:00,2023-09-18 16:43:00,2023-09-18 17:10:14.578668,-6.185000754353792,106.70405589579946,-6.131169832965758,106.76053503512728,10.220191870841763,2,Motor,Rendah,37,Hujan_Ringan,Ringan,Perumahan,27.24297780817443,24.874023216159262,0
30,DEL-00031,2023-10-04 16:35:00,2023-10-04 16:35:00,2023-10-04 17:27:32.652618,-6.172577776130326,106.91902855387688,-6.1496830990466265,106.6749202371033,21.035876339396278,44,Mobil_Van,Rendah,24,Cerah,Ringan,Bisnis,52.54421029400041,55.17142080870043,0
31,DEL-00032,2023-09-14 14:13:00,2023-09-14 14:13:00,2023-09-14 14:44:26.005859,-6.341303920971873,106.94727964888396,-6.28204683725915,106.86783599303077,22.36690446328064,25,Motor,Menengah,8,Cerah,Ringan,Perumahan,31.433430990084613,33.00510253958885,0
32,DEL-00033,2023-09-23 18:56:00,2023-09-23 18:56:00,2023-09-23 19:01:00.000000,-6.177986963599532,106.76513543112368,-6.301079816750988,106.90316018558988,5.85,15,Mobil_Van,Menengah,19,Cerah,Ringan,Industri,5.0,2.5796010888309984,0
33,DEL-00034,2023-10-10 11:15:00,2023-10-10 11:15:00,2023-10-10 11:39:13.963429,-6.098449242402909,106.8393145630586,-6.114725898787721,106.77175005108954,1.0,38,Mobil_Van,Menengah,34,Hujan_Ringan,Padat,Perumahan,24.232723808507657,13.82845652115926,0
34,DEL-00035,2023-10-15 08:46:00,2023-10-15 08:46:00,2023-10-15 10:06:30.416064,-6.133305146811814,106.88372737612907,-6.063126603428361,106.75704804554049,35.95734706180184,5,Truk_Kecil,Menengah,18,Cerah,Ringan,Industri,80.50693439784125,84.53228111773332,0
35,DEL-00036,2023-10-23 14:25:00,2023-10-23 14:25:00,2023-10-23 15:21:33.620315,-6.31064446882376,106.76779352455084,-6.119724959737152,106.84759555675696,22.09276015170457,15,Mobil_Van,Tinggi,10,Hujan_Ringan,Padat,Industri,56.56033858887399,35.86253352555416,0
36,DEL-00037,2023-09-25 18:59:00,2023-09-25 18:59:00,2023-09-25 19:06:55.400993,-6.172257605730915,106.69854424214934,-6.061038655340675,106.6726771382368,5.21,26,Motor,Rendah,26,Cerah,Sedang,Bisnis,7.923349875090047,6.932931140703791,0
37,DEL-00038,2023-10-30 19:40:00,2023-10-30 19:40:00,2023-10-30 20:19:46.701646,-6.148324249977736,106.78012882313776,-6.168501372758888,106.73815256884087,15.436756893413104,11,Mobil_Van,Menengah,22,Hujan_Ringan,Ringan,Perumahan,39.77836076458115,36.31937287200888,0
38,DEL-00039,2023-09-29 19:00:00,2023-09-29 19:00:00,2023-09-29 19:56:53.911734,-6.338830639474312,106.88156629350088,-6.071270341792425,106.75986383956057,13.725870409942708,47,Motor,Menengah,19,Cerah,Padat,Perumahan,56.89852889426744,37.33965958686301,0
39,DEL-00040,2023-09-25 13:08:00,2023-09-25 13:08:00,2023-09-25 13:20:13.430001,-6.093395699394914,106.88422882882452,-6.142869291636534,106.80557708520922,5.403909457786501,33,Mobil_Van,Menengah,25,Cerah,Ringan,Industri,12.223833347501785,12.835025014876877,0
40,DEL-00041,2023-09-24 07:43:00,2023-09-24 07:43:00,2023-09-24 08:37:17.823977,-6.078119780813051,106.71916163765128,-6.077334574939674,106.7929707658407,29.581199344974706,37,Truk_Kecil,Rendah,16,Cerah,Ringan,Bisnis,54.29706628361899,57.01191959779994,0
41,DEL-00042,2023-09-08 14:10:00,2023-09-08 14:10:00,2023-09-08 14:52:05.884177,-6.094864317991322,106.70248969196722,-6.301523309609123,106.7126041268324,26.068609019556735,36,Motor,Menengah,31,Hujan_Ringan,Ringan,Bisnis,42.09806961158375,38.43736790622864,0
42,DEL-00043,2023-10-21 07:07:00,2023-10-21 07:07:00,2023-10-21 08:51:34.846544,-6.102610559603266,106.9261682106301,-6.105330435276816,106.812236362159,43.51207490383546,41,Mobil_Van,Rendah,15,Badai,Ringan,Bisnis,104.58077573499732,78.435581801248,0
43,DEL-00044,2023-10-05 09:32:00,2023-10-05 09:32:00,2023-10-05 09:37:00.000000,-6.1265104404617325,106.66319970916749,-6.290976259713965,106.92776060726602,1.0,38,Motor,Menengah,35,Cerah,Ringan,Bisnis,5.0,-3.0967280420287207,0
44,DEL-00045,2023-10-29 11:41:00,2023-10-29 11:41:00,2023-10-29 11:46:00.000000,-6.159970390615412,106.87042154272952,-6.341771269416213,106.65812636708914,1.0,11,Motor,Menengah,5,Cerah,Ringan,Perumahan,5.0,1.100179593113931,0
46,DEL-00047,2023-09-28 13:08:00,2023-09-28 13:08:00,2023-09-28 14:00:49.212435,-6.108081411999505,106.9013700152583,-6.254524465831447,106.83741270817868,24.984798005193767,9,Motor,Tinggi,29,Cerah,Sedang,Perumahan,52.82020724958633,51.35297927043116,0
47,DEL-00048,2023-09-08 18:33:00,2023-09-08 18:33:00,2023-09-08 18:58:57.600859,-6.151250462491609,106.92162444400084,-6.336940591463595,106.9273280864135,16.91296076968078,11,Mobil_Van,Tinggi,21,Cerah,Ringan,Bisnis,25.96001432462338,30.286683378727275,0
48,DEL-00049,2023-10-03 13:22:00,2023-10-03 13:22:00,2023-10-03 14:28:04.021509,-6.2516819129953785,106.73922573726873,-6.055908686381552,106.84360348212212,24.081042597697483,41,Motor,Menengah,11,Hujan_Ringan,Padat,Perumahan,66.0670251426499,37.70129152162087,0
49,DEL-00050,2023-09-24 11:34:00,2023-09-24 11:34:00,2023-09-24 12:44:40.389150,-6.237211669351594,106.672180693055,-6.150060171353003,106.8374528137443,37.66784916227638,33,Mobil_Van,Menengah,36,Cerah,Ringan,Perumahan,70.67315249683972,74.20681012168171,0
50,DEL-00051,2023-10-14 14:21:00,2023-10-14 14:21:00,2023-10-14 15:31:14.496800,-6.080882759488312,106.79420536090424,-6.079456348035321,106.88094169802947,36.22205806708196,45,Mobil_Van,Menengah,29,Hujan_Ringan,Ringan,Perumahan,70.24161333490323,64.13364695795512,0
51,DEL-00052,2023-09-27 09:00:00,2023-09-27 09:00:00,2023-09-27 10:14:52.239105,-6.344863374260852,106.73953891102364,-6.050275224238416,106.7303417846459,37.84511688069935,33,Motor,Menengah,22,Cerah,Ringan,Perumahan,74.8706517443667,78.61418433158504,0
52,DEL-00053,2023-10-05 11:46:00,2023-10-05 11:46:00,2023-10-05 12:49:18.379157,-6.140353825626716,106.77514084284311,-6.232409978998673,106.82871967872968,20.51,27,Mobil_Van,Rendah,39,Badai,Sedang,Perumahan,63.30631928409959,39.56644955256225,0
53,DEL-00054,2023-09-14 09:00:00,2023-09-14 09:00:00,2023-09-14 10:21:53.140996,-6.063566734272436,106.8494956360466,-6.273578891379765,106.80582633280856,37.75659790200202,18,Motor,Tinggi,30,Cerah,Sedang,Perumahan,81.88568326776358,79.61108095477016,0
54,DEL-00055,2023-09-05 16:54:00,2023-09-05 16:54:00,2023-09-05 18:48:16.335557,-6.138131549012608,106.7129478107846,-6.294834682193952,106.78154175199649,41.71216746444473,11,Motor,Menengah,16,Hujan_Ringan,Sedang,Perumahan,114.27225928694264,86.94628424006505,0
55,DEL-00056,2023-09-14 13:26:00,2023-09-14 13:26:00,2023-09-14 14:24:06.450034,-6.051826403530465,106.75708547085422,-6.195443867662598,106.67384615021084,22.98916709576994,47,Mobil_Van,Menengah,18,Cerah,Sedang,Perumahan,58.10750057358167,50.84406300188397,0
56,DEL-00057,2023-09-09 16:41:00,2023-09-09 16:41:00,2023-09-09 17:57:02.030213,-6.143736528341501,106.8847687470878,-6.168175766749353,106.73778865740384,27.70432694234593,30,Motor,Menengah,12,Hujan_Ringan,Sedang,Bisnis,76.03383688626892,57.851832413465495,0
57,DEL-00058,2023-10-30 19:50:00,2023-10-30 19:50:00,2023-10-30 20:34:43.033495,-6.339691091234942,106.84312858498583,-6.208273179190242,106.73399451419704,30.566795119851875,16,Motor,Tinggi,26,Cerah,Ringan,Perumahan,44.71722491239344,52.17009573112568,0
58,DEL-00059,2023-10-02 13:48:00,2023-10-02 13:48:00,2023-10-02 14:48:56.056711,-6.101897035505923,106.74788264734536,-6.233824395546296,106.8672752871492,25.80636740141281,24,Mobil_Van,Tinggi,16,Cerah,Padat,Bisnis,60.93427852408493,44.43124475714526,0
59,DEL-00060,2023-10-22 19:31:00,2023-10-22 19:31:00,2023-10-22 20:01:38.493971,-6.264611026418205,106.84929048007798,-6.299518230962262,106.92619684056312,18.106863446868704,1,Motor,Rendah,36,Cerah,Ringan,Perumahan,30.641566182678694,32.17364449181263,0
60,DEL-00061,2023-09-04 11:22:00,2023-09-04 11:22:00,2023-09-04 11:45:07.109687,-6.216182832300668,106.8795938768676,-6.217442112856813,106.71923616686306,13.000593426835087,11,Motor,Tinggi,17,Cerah,Sedang,Perumahan,23.118494779364426,22.476314368826525,0
61,DEL-00062,2023-10-09 19:14:00,2023-10-09 19:14:00,2023-10-09 20:17:40.921108,-6.256372425227876,106.82774567428584,-6.324427058876281,106.6723871816674,30.444336765097574,6,Mobil_Van,Menengah,37,Cerah,Sedang,Perumahan,63.68201846621416,55.7217661579374,0
62,DEL-00063,2023-10-13 19:35:00,2023-10-13 19:35:00,2023-10-13 20:38:18.323416,-6.269433768137096,106.7218490497503,-6.090485672333722,106.94998708631064,13.031422766599148,12,Motor,Menengah,5,Badai,Padat,Bisnis,63.30539027029787,29.674401689202128,1
63,DEL-00064,2023-09-13 13:58:00,2023-09-13 13:58:00,2023-09-13 14:11:24.080959,-6.220578288899064,106.6500735871536,-6.335929204370612,106.85736159904022,1.0,26,Motor,Tinggi,32,Cerah,Sedang,Perumahan,13.40134932152589,13.029089618150172,0
64,DEL-00065,2023-10-21 12:27:00,2023-10-21 12:27:00,2023-10-21 12:58:35.003551,-6.2363745654677984,106.89085473209649,-6.235806181480534,106.91594125409708,20.43795047830805,19,Motor,Menengah,7,Cerah,Ringan,Perumahan,31.583392512010462,33.16256213761099,0
65,DEL-00066,2023-09-02 16:44:00,2023-09-02 16:44:00,2023-09-02 19:20:05.432852,-6.159998425447223,106.89679006659485,-6.319958639287109,106.69316382475914,51.56847145790173,1,Mobil_Van,Rendah,20,Cerah,Padat,Bisnis,156.09054753712385,102.43442182123754,1
66,DEL-00067,2023-10-27 11:05:00,2023-10-27 11:05:00,2023-10-27 12:01:19.243460,-6.106054639703747,106.8592813504183,-6.117505850159877,106.8902304123352,28.404084943512537,34,Motor,Menengah,36,Cerah,Ringan,Bisnis,56.32072433932239,59.13676055628852,0
67,DEL-00068,2023-09-28 18:43:00,2023-09-28 18:43:00,2023-09-28 19:04:01.905489,-6.260873404043828,106.67297427941028,-6.256178906351622,106.89399712379642,15.34,20,Motor,Tinggi,14,Cerah,Ringan,Perumahan,21.03175814278108,24.537051166577925,0
68,DEL-00069,2023-10-14 10:29:00,2023-10-14 10:29:00,2023-10-14 10:34:00.000000,-6.285883654153395,106.82556668625242,-6.316068316204234,106.69544667779718,1.0,12,Motor,Menengah,5,Cerah,Ringan,Bisnis,5.0,-2.784756980310158,0
69,DEL-00070,2023-09-11 16:54:00,2023-09-11 16:54:00,2023-09-11 17:36:58.709050,-6.149931418738897,106.89630620138148,-6.190552610340646,106.69842125402825,20.915337052051825,24,Motor,Tinggi,11,Hujan_Ringan,Ringan,Perumahan,42.9784841621113,43.60136074417089,0
70,DEL-00071,2023-09-28 15:38:00,2023-09-28 15:38:00,2023-09-28 16:07:05.848869,-6.148903980250766,106.76690049603243,-6.075116897831138,106.73863536483654,19.02,32,Motor,Menengah,11,Cerah,Ringan,Perumahan,29.097481149306148,30.552355206771452,0
71,DEL-00072,2023-10-03 07:56:00,2023-10-03 07:56:00,2023-10-03 08:44:34.816182,-6.079660628214149,106.70940022026608,-6.077406538664239,106.71503623429072,10.533716716207504,33,Motor,Menengah,8,Hujan_Ringan,Padat,Perumahan,48.580269704475285,27.722436516140792,0
72,DEL-00073,2023-09-27 15:51:00,2023-09-27 15:51:00,2023-09-27 16:54:05.093188,-6.345216294064007,106.82628818917244,-6.275104687660163,106.94262297241696,34.21649679507045,39,Motor,Tinggi,8,Hujan_Ringan,Ringan,Perumahan,63.08488645854763,63.99916017533819,0
73,DEL-00074,2023-09-13 15:02:00,2023-09-13 15:02:00,2023-09-13 15:56:45.273018,-6.094087801365047,106.89789198819028,-6.13410209721193,106.75888315009092,22.353742846114336,10,Mobil_Van,Rendah,29,Hujan_Ringan,Ringan,Bisnis,54.754550301797565,49.993285058163,0
74,DEL-00075,2023-10-09 12:07:00,2023-10-09 12:07:00,2023-10-09 13:04:00.383373,-6.193699348115493,106.66466098761212,-6.340914742147703,106.87839192353016,18.750972199334882,22,Motor,Rendah,9,Cerah,Sedang,Perumahan,57.00638955417717,49.88059085990503,0
75,DEL-00076,2023-09-27 15:36:00,2023-09-27 15:36:00,2023-09-27 17:15:45.412670,-6.16360937324837,106.82908536514822,-6.310444461048973,106.8915152410448,38.87421997161812,48,Motor,Menengah,11,Hujan_Ringan,Sedang,Perumahan,99.75687782799731,75.90197226043276,0
76,DEL-00077,2023-10-03 09:41:00,2023-10-03 09:41:00,2023-10-03 10:21:42.022463,-6.322588567831576,106.8429521386018,-6.200158288905866,106.7657822661464,18.01552435733651,47,Truk_Kecil,Menengah,7,Cerah,Sedang,Bisnis,40.70037438543154,35.6128275872526,0
77,DEL-00078,2023-10-14 14:14:00,2023-10-14 14:14:00,2023-10-14 15:15:43.501919,-6.220215520138386,106.83071011180448,-6.281373069653495,106.8547756662847,33.39880667852823,41,Mobil_Van,Rendah,39,Cerah,Sedang,Perumahan,61.72503198664887,54.00940298831776,0
78,DEL-00079,2023-10-29 12:31:00,2023-10-29 12:31:00,2023-10-29 13:46:25.848883,-6.281809277828443,106.84501010527111,-6.110521443811959,106.68234004226872,28.069264115637132,14,Motor,Menengah,15,Hujan_Ringan,Sedang,Bisnis,75.43081471473286,57.3930111959924,0
79,DEL-00080,2023-10-02 14:40:00,2023-10-02 14:40:00,2023-10-02 16:05:51.389895,-6.273732490975248,106.83941259228123,-6.0706783483842015,106.76908861544456,41.64987186678636,4,Mobil_Van,Menengah,16,Cerah,Sedang,Bisnis,85.85649824457766,75.12443596400547,0
80,DEL-00081,2023-10-22 07:48:00,2023-10-22 07:48:00,2023-10-22 08:04:28.408347,-6.198771465597192,106.6891211654941,-6.348700005055165,106.94019319802848,11.079450227580637,29,Motor,Menengah,20,Hujan_Ringan,Sedang,Perumahan,16.473472442961587,12.53416381529686,0
81,DEL-00082,2023-10-28 10:11:00,2023-10-28 10:11:00,2023-10-28 11:01:10.660180,-6.106263214879067,106.72048103308468,-6.280125251119706,106.70055919617408,29.05,6,Motor,Rendah,11,Cerah,Ringan,Perumahan,50.17766965954911,52.68655314252657,0
82,DEL-00083,2023-10-09 08:02:00,2023-10-09 08:02:00,2023-10-09 08:48:25.936024,-6.126865720956543,106.8356982015867,-6.218133996177132,106.7657133914102,24.626555838859534,47,Motor,Tinggi,25,Cerah,Ringan,Bisnis,46.43226707334549,54.17097825223641,0
83,DEL-00084,2023-10-19 11:48:00,2023-10-19 11:48:00,2023-10-19 12:56:38.701095,-6.172700012274214,106.65530794834103,-6.181076213494284,106.8871564529676,40.64274493619161,40,Motor,Tinggi,14,Hujan_Ringan,Ringan,Industri,68.64501825203175,69.63987358901772,0
84,DEL-00085,2023-10-26 07:58:00,2023-10-26 07:58:00,2023-10-26 09:09:38.198123,-6.18817454217396,106.84042335561698,-6.0752291667223695,106.84962697647312,27.872652115477685,42,Motor,Menengah,22,Cerah,Sedang,Bisnis,71.63663538805365,62.68205596454695,0
85,DEL-00086,2023-10-19 08:01:00,2023-10-19 08:01:00,2023-10-19 08:38:35.891617,-6.221808187029653,106.84961598713552,-6.0824349528454125,106.83945558047232,14.368922063611565,39,Mobil_Van,Rendah,33,Cerah,Ringan,Perumahan,37.59819362067379,39.47810330170748,0
86,DEL-00087,2023-09-28 12:22:00,2023-09-28 12:22:00,2023-09-28 13:02:00.162299,-6.0581870079315845,106.72175242795848,-6.15884897015961,106.90597723780272,16.211164712545692,49,Motor,Menengah,30,Cerah,Ringan,Perumahan,40.00270498763847,42.00284023702039,0
87,DEL-00088,2023-10-07 07:00:00,2023-10-07 07:00:00,2023-10-07 07:59:17.684120,-6.18194223372973,106.82943984892594,-6.272783595774835,106.6587281529071,23.019199176846072,25,Motor,Menengah,34,Cerah,Padat,Bisnis,59.29473533747628,38.91217006521881,0
88,DEL-00089,2023-09-19 08:52:00,2023-09-19 08:52:00,2023-09-19 09:18:08.235055,-6.273810080506333,106.81022701821712,-6.115013657036492,106.8813493104546,11.316817399218674,45,Motor,Menengah,5,Cerah,Ringan,Perumahan,26.13725092126192,27.44411346732501,0
89,DEL-00090,2023-10-14 16:31:00,2023-10-14 16:31:00,2023-10-14 18:02:34.756536,-6.2809727623879885,106.72820746444592,-6.28920446861383,106.91476471176476,28.171869141198478,8,Motor,Rendah,19,Cerah,Padat,Perumahan,91.57927559257934,60.09889960763019,1
90,DEL-00091,2023-09-06 13:03:00,2023-09-06 13:03:00,2023-09-06 13:08:00.000000,-6.1665940907674575,106.78889220356244,-6.060448302770955,106.65485234324886,4.794315659402136,11,Motor,Tinggi,29,Cerah,Sedang,Bisnis,5.0,4.28129387297271,0
91,DEL-00092,2023-10-25 17:55:00,2023-10-25 17:55:00,2023-10-25 18:39:37.125225,-6.193151741806721,106.92288735882366,-6.3482480252798,106.8176888853322,21.416225391425755,1,Truk_Kecil,Rendah,23,Cerah,Ringan,Industri,44.61875374279623,46.84969142993605,0
92,DEL-00093,2023-10-29 07:37:00,2023-10-29 07:37:00,2023-10-29 08:33:33.839006,-6.347690659113586,106.77798083413796,-6.1790688488276295,106.75457654556318,32.422739746472665,6,Mobil_Van,Menengah,32,Cerah,Ringan,Perumahan,56.56398343469258,59.39218260642721,0
93,DEL-00094,2023-09-24 11:51:00,2023-09-24 11:51:00,2023-09-24 12:57:41.241479,-6.1009803883412665,106.83895325306383,-6.323480825923512,106.66522881264406,28.31053458994721,38,Motor,Menengah,37,Cerah,Sedang,Perumahan,66.68735797724447,58.35143823008893,0
94,DEL-00095,2023-10-04 12:21:00,2023-10-04 12:21:00,2023-10-04 13:43:23.088316,-6.138763293730269,106.6606052463122,-6.227720140945394,106.77532443579544,25.103093178648926,28,Motor,Menengah,19,Cerah,Padat,Perumahan,82.384805266144,54.065028455907,0
95,DEL-00096,2023-09-11 07:08:00,2023-09-11 07:08:00,2023-09-11 08:23:56.147270,-6.1514512130965695,106.67334003399662,-6.159519937906875,106.84320904235156,35.05,32,Motor,Menengah,18,Badai,Ringan,Perumahan,75.93578783547794,56.95184087660847,0
